,TRACE_NAME,LINE_NO
0,TRACE_BOOT,219
1,TRACE_SLOT_UPDATE_ENTRY_WRONG,1199
2,TRACE_CONFIG_EVENT_NCONFIG_ASSERT,890
3,TRACE_GPIO_ISR_ERR,71
4,TRACE_MACST_DISABLE,224
5,TRACE_CONFIG_EVENT_VAB_BS_PREAUTH,543
6,TRACE_CONFIG_EVENT_RECONFIG_INTERRUPTION,941
7,TRACE_SLOT_UPDATE_ENTRY_WRONG,1085
8,TRACE_REDUNDANCY_INIT_ERROR,233
9,TRACE_REDUNDANCY_INIT_ERROR,233
10,TRACE_CONFIG_EVENT_TRANSITION,20297
11,TRACE_CONFIG_EVENT_VAB_BS_PREAUTH,156
12,TRACE_CONFIG_EVENT_TRANSITION,1163022147
13,TRACE_GPIO_DEBOUNCE_ENABLE_FAIL,288
14,TRACE_MBOX_CMD_SDM_ATPR_TRIGGER,4
